coordinate,in_range
"(120.02805139840395, 29.94108105368436)",False
"(119.9936798649707, 29.94223146341152)",False
"(119.95477090187698, 30.02871152162391)",False
"(119.94653122574984, 30.01585224614637)",False
"(119.96397729154701, 30.03906071891006)",False
"(120.04127882624663, 29.96536958079605)",False
"(120.04008955910369, 30.05595673309821)",False
"(119.98896009477988, 30.0668262266084)",False
"(120.04336104876978, 30.0162684128353)",False
"(119.94107766663734, 30.02693801131011)",False
"(120.0272037276947, 29.94286149486922)",False
"(120.04039520184406, 30.05638334715008)",False
"(119.9535601081291, 29.95563823006703)",False
"(119.99085587561322, 29.94464922332005)",False
"(119.98163562178776, 29.93473662060342)",False
"(119.95817544054033, 30.03995296736383)",False
"(119.95392911061364, 30.01014807664686)",False
"(119.98012206561182, 30.04877773867741)",False
"(119.99692289442464, 29.94352452902301)",False
"(120.0518084572986, 30.0)",False
"(119.98833603482629, 29.94754409648731)",False
"(119.94888025384789, 30.00371372687821)",False
"(120.05891678817882, 30.0)",False
"(119.98455991634924, 29.93056190359366)",False
"(119.94425124148252, 30.0)",False
"(120.00929781791318, 29.94371889301206)",False
"(120.05588302593907, 29.97445149404514)",False
"(120.05177904234434, 29.96713056073125)",False
"(119.95738830664357, 29.94760333315929)",False
"(119.98321627957033, 29.95105127552102)",False
"(119.9450122484814, 29.97012180975783)",False
"(120.01030971716233, 30.06240628715753)",False
"(119.98163562178776, 29.93473662060342)",False
"(119.99668633607591, 30.06081713031608)",False
"(120.04752592078285, 29.96012864925155)",False
"(119.98822951238542, 29.94706503719685)",False
"(120.02230636627976, 30.05473677918385)",False
"(119.950197929084, 30.01476515401429)",False
"(119.95395094036961, 30.01365247358494)",False
"(119.98106843686551, 29.96039118756774)",True
"(119.96528142338968, 30.04845995237584)",False
"(120.05904700161155, 29.97784645376077)",False
"(119.9562566727256, 30.03205490220704)",False
"(120.03363897758794, 29.95304694457436)",False
"(120.00303807094332, 30.05575905121992)",False
"(120.03045224714415, 29.95160197123114)",False
"(120.04616738454408, 29.97491445166794)",False
"(120.03804964088829, 29.95874140531921)",False
"(120.0380385447905, 29.95322661923286)",False
"(120.00315372574147, 30.05788171455934)",False
"(120.0, 30.07280770159415)",False
"(120.00744835056206, 30.06808087326823)",False
"(120.03471857661032, 30.04845995237584)",False
"(119.98760959446372, 29.94427710408812)",False
"(120.01161033746357, 29.94778527433269)",False
"(120.00360132833998, 30.06609676176598)",False
"(119.94937869352877, 29.9575318093282)",False
"(119.94715744976614, 30.02871257189403)",False
"(120.01744961091097, 29.93798752323414)",False
"(119.98584291388724, 30.05031149279594)",False
"(120.00716635951709, 30.06550336346453)",False
"(120.0523742232974, 30.03324726132387)",False
"(120.05258447223773, 29.98841717054281)",False
"(119.95966868316158, 30.04959264476897)",False
"(119.95914914943437, 30.02219675202289)",False
"(120.0146520094043, 29.93410607969649)",False
"(120.02684679756774, 30.06587837803026)",False
"(120.04616044055129, 30.0033534452279)",False
"(120.04471292712097, 30.0242952531411)",False
"(120.00380543764793, 30.06984286959854)",False
"(120.04628174124029, 30.01019452117622)",False
"(120.00933584595701, 30.05651129652527)",False
"(120.05081692728294, 29.99258720262692)",False
"(119.95563578280715, 30.02816249348585)",False
"(120.01742332805485, 29.94918589784444)",False
"(119.95391959651651, 29.95003336048206)",False
"(120.04419499146759, 30.01658129558315)",False
"(120.02807170049857, 30.05107693353222)",False
"(119.98351584230944, 29.94141855362821)",False
"(120.00696444960089, 29.93634217311462)",False
"(120.05417234100788, 29.98393916269777)",False
"(120.05689967813713, 29.98313057076531)",False
"(120.02551568756316, 29.94640704167071)",False
"(120.01744961091097, 29.93798752323414)",False
"(119.97818555096408, 29.93637945412675)",False
"(120.03452960263135, 30.05487820631492)",False
"(120.00386765601144, 30.07098479056822)",False
"(120.03452960263135, 29.94512179368508)",False
"(119.93861838756338, 30.01819821835925)",False
"(120.03652524783845, 29.96935754334156)",False
"(120.02396675306349, 30.05881114179411)",False
"(119.93970764189119, 29.99120499688386)",False
"(120.05022715573404, 30.00732676586307)",False
"(119.9718066975107, 30.04480786782358)",False
"(119.96954683254232, 29.93603639602053)",False
"(120.036885111187, 30.03094436007357)",False
